expense_id,category_id,amount,expense_date,description_,user_id
1,1,1500.00,2023-10-01 00:00:00,Купил в пятерочке,1
2,2,2000.00,2023-10-05 00:00:00,Оплата за продукты,2
3,3,500.00,2023-10-03 00:00:00,Бензин,3
4,4,1200.00,2023-10-10 00:00:00,В кино,1
5,5,3000.00,2023-10-15 00:00:00,Газ,2
6,1,1000.00,2023-10-02 00:00:00,Продукты,3
7,1,800.00,2023-10-07 00:00:00,Фрукты,1
8,2,400.00,2023-10-04 00:00:00,Автобус,1
9,3,1500.00,2023-10-08 00:00:00,Транспорт,2
10,4,3000.00,2023-10-12 00:00:00,Книга,3
11,5,2500.00,2023-10-18 00:00:00,Курсы английского,1
12,6,5000.00,2023-10-25 00:00:00,Абонемент спортзал,2
13,7,12000.00,2023-10-30 00:00:00,Новый ноутбук,3
14,3,1200.00,2024-08-30 00:00:00,Парк развлечений,1
15,6,1500.00,2024-08-31 00:00:00,Поход в зал,1
16,2,1500.00,2024-11-18 00:00:00,В зал,1
18,4,1111.00,2024-11-28 00:00:00,За квартиру,8
19,1,1500.00,2024-11-01 00:00:00,Покупка продуктов в супермаркете,1
20,2,500.00,2024-11-02 00:00:00,Проезд на такси,1
21,3,1200.00,2024-11-05 00:00:00,Билеты в кинотеатр,1
23,4,3000.00,2024-11-07 00:00:00,Оплата аренды жилья,1
24,1,1000.00,2024-11-08 00:00:00,Продукты на неделю,1
25,2,350.00,2024-11-09 00:00:00,Проезд на автобусе,1
26,3,600.00,2024-11-10 00:00:00,Поход в кафе,1
27,5,800.00,2024-11-11 00:00:00,Медицинские услуги,1
28,4,3200.00,2024-11-12 00:00:00,Оплата коммунальных услуг,1
29,1,1500.00,2024-11-01 00:00:00,Закупка продуктов,1
30,2,300.00,2024-11-02 00:00:00,Проезд на такси,1
34,1,1500.00,2024-12-11 11:12:48,Закупка продуктов,1
35,1,1500.00,2024-12-11 11:17:09,Тестовая запись,1
36,1,-500.00,2024-12-11 11:21:14,Ошибка ввода,1
37,1,-500.00,2024-12-11 11:22:38,Ошибка ввода,1
38,1,0.00,2024-12-11 11:22:48,Ошибка ввода,1
39,1,-1.00,2024-12-11 11:22:53,Ошибка ввода,1
